Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
176558,2,2,04/19/19 08:46,"917 1st St, Dallas, TX 75001"
,19,,,
176559,5,1,04/07/19 22:30,"682 Chestnut St, Boston, MA 02215"
176560,25,1,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001"
176560,10,1,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001"
176561,10,1,04/30/19 09:27,"333 8th St, Los Angeles, CA 90001"
176562,2,1,04/29/19 13:03,"381 Wilson St, San Francisco, CA 94016"
176563,5,1,04/02/19 07:46,"668 Center St, Seattle, WA 98101"
176564,2,1,04/12/19 10:58,"790 Ridge St, Atlanta, GA 30301"
176565,22,1,04/24/19 10:38,"915 Willow St, San Francisco, CA 94016"
176566,10,1,04/08/19 14:05,"83 7th St, Boston, MA 02215"
176567,25,1,04/18/19 17:18,"444 7th St, Los Angeles, CA 90001"
176568,8,1,04/15/19 12:18,"438 Elm St, Seattle, WA 98101"
176569,17,1,04/16/19 19:23,"657 Hill St, Dallas, TX 75001"
176570,4,1,04/22/19 15:09,"186 12th St, Dallas, TX 75001"
176571,8,1,04/19/19 14:29,"253 Johnson St, Atlanta, GA 30301"
176572,23,1,04/04/19 20:30,"149 Dogwood St, New York City, NY 10001"
176573,2,1,04/27/19 18:41,"214 Chestnut St, San Francisco, CA 94016"
176574,25,1,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001"
176574,2,1,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001"
176575,6,1,04/27/19 00:30,"433 Hill St, New York City, NY 10001"
176576,23,1,04/28/19 11:42,"771 Ridge St, Los Angeles, CA 90001"
176577,23,1,04/04/19 19:25,"260 Spruce St, Dallas, TX 75001"
176578,23,1,04/09/19 23:35,"513 Church St, Boston, MA 02215"
176579,4,1,04/11/19 10:23,"886 Jefferson St, New York City, NY 10001"
176580,2,1,04/05/19 00:35,"886 Willow St, Los Angeles, CA 90001"
176581,21,1,04/09/19 21:38,"84 Jackson St, Boston, MA 02215"
