Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
236670,10,2,08/31/19 22:21,"359 Spruce St, Seattle, WA 98101"
236671,5,1,08/15/19 15:11,"492 Ridge St, Dallas, TX 75001"
236672,21,1,08/06/19 14:40,"149 7th St, Portland, OR 97035"
236673,4,2,08/29/19 20:59,"631 2nd St, Los Angeles, CA 90001"
236674,4,2,08/15/19 19:53,"736 14th St, New York City, NY 10001"
236675,10,1,08/02/19 23:54,"470 Hill St, San Francisco, CA 94016"
236676,15,1,08/04/19 19:52,"470 Cherry St, Los Angeles, CA 90001"
236677,14,1,08/13/19 07:16,"918 6th St, San Francisco, CA 94016"
236678,10,1,08/25/19 20:11,"58 9th St, San Francisco, CA 94016"
236679,22,1,08/07/19 15:43,"239 Spruce St, Los Angeles, CA 90001"
236680,1,1,08/09/19 19:38,"967 Willow St, San Francisco, CA 94016"
236681,4,1,08/26/19 20:52,"295 1st St, Boston, MA 02215"
236682,4,1,08/19/19 12:40,"118 Johnson St, Portland, OR 97035"
236683,3,1,08/31/19 15:47,"196 West St, Dallas, TX 75001"
236684,8,1,08/09/19 16:50,"669 12th St, New York City, NY 10001"
236685,23,1,08/23/19 19:29,"238 Highland St, Atlanta, GA 30301"
236686,6,1,08/15/19 19:13,"766 Maple St, Dallas, TX 75001"
236687,2,1,08/23/19 12:54,"668 Meadow St, New York City, NY 10001"
236688,15,1,08/08/19 16:06,"821 7th St, Los Angeles, CA 90001"
236689,6,1,08/21/19 10:55,"13 Cedar St, San Francisco, CA 94016"
236690,6,1,08/08/19 12:00,"139 River St, San Francisco, CA 94016"
236691,2,1,08/23/19 07:34,"916 Meadow St, Boston, MA 02215"
236692,2,1,08/20/19 13:26,"567 Center St, San Francisco, CA 94016"
236693,17,1,08/12/19 21:57,"173 West St, Portland, OR 97035"
236694,23,1,08/14/19 23:45,"854 Sunset St, New York City, NY 10001"
236695,5,1,08/04/19 19:06,"905 Pine St, San Francisco, CA 94016"
236696,8,1,08/21/19 00:48,"530 Church St, New York City, NY 10001"
236697,4,1,08/25/19 23:13,"246 Willow St, San Francisco, CA 94016"
236698,10,1,08/07/19 13:40,"526 Chestnut St, Dallas, TX 75001"
236699,4,2,08/20/19 21:07,"763 Hill St, Atlanta, GA 30301"
236700,10,1,08/09/19 08:55,"534 North St, Los Angeles, CA 90001"
236701,23,1,08/06/19 10:36,"518 Main St, San Francisco, CA 94016"
236702,7,1,08/23/19 11:10,"615 11th St, Dallas, TX 75001"
236703,5,1,08/08/19 06:09,"861 Adams St, Atlanta, GA 30301"
236704,24,1,08/11/19 08:52,"415 Ridge St, San Francisco, CA 94016"
236705,4,3,08/11/19 22:21,"27 North St, Austin, TX 73301"
236706,25,1,08/14/19 14:19,"621 North St, San Francisco, CA 94016"
236707,4,2,08/14/19 14:06,"306 West St, Los Angeles, CA 90001"
236708,23,1,08/27/19 14:00,"353 Madison St, San Francisco, CA 94016"
236709,21,1,08/04/19 09:00,"869 Jackson St, San Francisco, CA 94016"
236710,22,1,08/04/19 02:46,"654 Chestnut St, Austin, TX 73301"
236711,22,1,08/28/19 17:28,"627 Lincoln St, Dallas, TX 75001"
236712,4,2,08/30/19 07:14,"548 Jefferson St, Boston, MA 02215"
236713,3,1,08/05/19 20:00,"852 8th St, San Francisco, CA 94016"
236714,17,1,08/30/19 09:07,"194 Dogwood St, Atlanta, GA 30301"
236715,17,1,08/23/19 11:20,"628 Jefferson St, Portland, OR 97035"
236716,4,2,08/17/19 20:12,"84 Cedar St, San Francisco, CA 94016"
236716,2,1,08/17/19 20:12,"84 Cedar St, San Francisco, CA 94016"
236717,25,1,08/11/19 12:26,"394 12th St, Atlanta, GA 30301"
236718,23,1,08/10/19 13:48,"499 7th St, San Francisco, CA 94016"
236719,6,1,08/05/19 12:09,"948 2nd St, Atlanta, GA 30301"
236720,23,1,08/24/19 16:49,"881 10th St, Dallas, TX 75001"
236721,23,1,08/02/19 12:24,"198 Highland St, Seattle, WA 98101"
236722,6,2,08/07/19 12:42,"241 6th St, San Francisco, CA 94016"
236723,23,1,08/01/19 18:56,"654 Pine St, New York City, NY 10001"
236724,23,1,08/21/19 01:08,"238 Hickory St, San Francisco, CA 94016"
236725,6,3,08/24/19 20:15,"590 Lakeview St, San Francisco, CA 94016"
236726,4,1,08/29/19 09:25,"434 Church St, Boston, MA 02215"
236727,2,1,08/19/19 08:10,"557 North St, New York City, NY 10001"
236728,7,1,08/10/19 11:21,"526 North St, Portland, ME 04101"
236729,21,1,08/09/19 09:28,"635 Lake St, San Francisco, CA 94016"
236729,23,1,08/09/19 09:28,"635 Lake St, San Francisco, CA 94016"
236730,25,1,08/02/19 10:17,"445 Lincoln St, New York City, NY 10001"
236730,10,1,08/02/19 10:17,"445 Lincoln St, New York City, NY 10001"
236731,6,1,08/29/19 12:40,"62 Center St, San Francisco, CA 94016"
236732,24,1,08/09/19 13:35,"328 North St, Dallas, TX 75001"
236733,23,1,08/08/19 10:21,"467 Hill St, Dallas, TX 75001"
236734,4,2,08/14/19 16:52,"405 Chestnut St, Dallas, TX 75001"
236735,23,1,08/18/19 22:08,"599 North St, Boston, MA 02215"
236736,10,1,08/03/19 17:36,"754 Chestnut St, Los Angeles, CA 90001"
236737,4,1,08/24/19 08:51,"908 Park St, San Francisco, CA 94016"
236738,24,1,08/30/19 15:07,"672 7th St, New York City, NY 10001"
236739,2,1,08/31/19 12:46,"949 Church St, Boston, MA 02215"
236740,2,1,08/12/19 07:30,"950 13th St, San Francisco, CA 94016"
236741,2,1,08/08/19 12:39,"26 Washington St, Boston, MA 02215"
236742,22,1,08/11/19 01:47,"701 1st St, San Francisco, CA 94016"
236743,8,1,08/27/19 12:55,"826 Forest St, Los Angeles, CA 90001"
236744,6,1,08/09/19 20:21,"11 Wilson St, Atlanta, GA 30301"
236745,6,1,08/17/19 21:01,"850 Ridge St, San Francisco, CA 94016"
236746,6,2,08/13/19 09:52,"585 Spruce St, Los Angeles, CA 90001"
236747,6,1,08/02/19 15:19,"255 Cherry St, New York City, NY 10001"
236748,5,1,08/19/19 16:40,"977 13th St, New York City, NY 10001"
236749,6,1,08/30/19 20:13,"498 Johnson St, Austin, TX 73301"
236750,24,1,08/25/19 08:37,"806 Ridge St, Boston, MA 02215"
236751,17,1,08/03/19 09:18,"534 Washington St, Portland, ME 04101"
236752,17,1,08/27/19 21:41,"765 Lakeview St, Austin, TX 73301"
236753,8,1,08/18/19 19:28,"501 Lakeview St, New York City, NY 10001"
236754,8,1,08/13/19 10:29,"872 Ridge St, Seattle, WA 98101"
236755,10,1,08/19/19 13:59,"902 2nd St, Dallas, TX 75001"
236756,4,1,08/31/19 18:36,"444 West St, Boston, MA 02215"
236757,2,1,08/07/19 19:28,"969 Spruce St, Seattle, WA 98101"
236758,24,1,08/18/19 13:55,"155 Hickory St, Los Angeles, CA 90001"
236759,5,1,08/27/19 12:09,"848 5th St, New York City, NY 10001"
236760,4,1,08/29/19 17:02,"35 Spruce St, Boston, MA 02215"
236761,3,1,08/19/19 21:43,"148 Chestnut St, San Francisco, CA 94016"
236762,6,1,08/16/19 14:25,"632 Cherry St, San Francisco, CA 94016"
236763,23,1,08/06/19 10:23,"288 Lake St, Seattle, WA 98101"
236764,5,1,08/22/19 15:48,"663 Elm St, Boston, MA 02215"
236765,10,1,08/24/19 10:48,"731 10th St, San Francisco, CA 94016"
236766,10,1,08/19/19 17:13,"287 Highland St, Seattle, WA 98101"
236767,21,1,08/09/19 13:51,"41 Adams St, Dallas, TX 75001"
236768,4,2,08/27/19 10:21,"352 1st St, Portland, OR 97035"
236769,4,1,08/25/19 13:18,"270 Cherry St, Dallas, TX 75001"
236770,10,1,08/13/19 08:46,"796 Park St, San Francisco, CA 94016"
236771,25,1,08/07/19 18:04,"942 Elm St, Los Angeles, CA 90001"
236772,23,1,08/18/19 05:31,"61 Park St, Portland, OR 97035"
236773,23,1,08/20/19 20:16,"742 Forest St, Austin, TX 73301"
236774,6,2,08/13/19 15:57,"634 Pine St, Austin, TX 73301"
236775,6,2,08/06/19 08:25,"3 Dogwood St, New York City, NY 10001"
236776,5,1,08/25/19 02:53,"729 Washington St, New York City, NY 10001"
236777,8,1,08/29/19 13:25,"61 Park St, New York City, NY 10001"
236778,10,1,08/29/19 22:52,"625 Forest St, Dallas, TX 75001"
236779,3,1,08/29/19 09:31,"546 9th St, San Francisco, CA 94016"
236780,8,1,08/18/19 18:50,"890 2nd St, Seattle, WA 98101"
236781,17,1,08/19/19 06:52,"707 Wilson St, Atlanta, GA 30301"
236782,2,1,08/15/19 16:45,"366 Washington St, Boston, MA 02215"
236783,4,2,08/04/19 10:06,"350 Dogwood St, Boston, MA 02215"
236784,6,1,08/29/19 13:17,"501 Maple St, Boston, MA 02215"
236785,23,1,08/22/19 19:17,"645 North St, Dallas, TX 75001"
236786,8,1,08/06/19 08:41,"307 10th St, San Francisco, CA 94016"
236787,6,1,08/27/19 14:06,"195 Wilson St, Boston, MA 02215"
236788,21,1,08/21/19 12:09,"598 13th St, Los Angeles, CA 90001"
236789,8,1,08/21/19 12:07,"377 South St, San Francisco, CA 94016"
236790,14,2,08/21/19 21:28,"212 Hill St, San Francisco, CA 94016"
236791,3,1,08/06/19 17:53,"26 Jefferson St, Atlanta, GA 30301"
236792,10,1,08/22/19 14:38,"326 Johnson St, New York City, NY 10001"
236793,2,1,08/12/19 12:01,"961 South St, Los Angeles, CA 90001"
236794,10,1,08/05/19 17:14,"588 Pine St, Dallas, TX 75001"
236795,4,4,08/13/19 18:02,"235 South St, Austin, TX 73301"
236796,10,1,08/15/19 16:14,"623 South St, Atlanta, GA 30301"
236797,25,1,08/16/19 18:45,"835 12th St, Los Angeles, CA 90001"
236798,8,2,08/19/19 08:59,"614 7th St, Los Angeles, CA 90001"
236799,25,1,08/01/19 12:38,"309 2nd St, San Francisco, CA 94016"
236799,10,1,08/01/19 12:38,"309 2nd St, San Francisco, CA 94016"
236800,8,1,08/21/19 15:02,"389 Highland St, Boston, MA 02215"
236801,2,1,08/24/19 00:22,"43 Jackson St, Dallas, TX 75001"
236802,17,1,08/01/19 18:43,"668 9th St, Los Angeles, CA 90001"
236803,4,4,08/25/19 12:36,"124 Forest St, San Francisco, CA 94016"
236804,7,1,08/06/19 23:10,"933 Center St, Los Angeles, CA 90001"
236805,2,1,08/23/19 16:27,"445 10th St, New York City, NY 10001"
236806,2,1,08/06/19 02:22,"828 Madison St, Boston, MA 02215"
236807,2,1,08/27/19 20:49,"962 Highland St, Seattle, WA 98101"
236808,4,1,08/24/19 08:04,"782 12th St, New York City, NY 10001"
236809,25,1,08/01/19 20:53,"444 South St, Seattle, WA 98101"
236810,8,1,08/23/19 07:47,"318 10th St, San Francisco, CA 94016"
236811,10,1,08/04/19 16:44,"352 Cherry St, San Francisco, CA 94016"
