Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
295665,22,1,12/30/19 00:01,"136 Church St, New York City, NY 10001"
295666,1,1,12/29/19 07:03,"562 2nd St, New York City, NY 10001"
295667,2,1,12/12/19 18:21,"277 Main St, New York City, NY 10001"
295668,3,1,12/22/19 15:13,"410 6th St, San Francisco, CA 94016"
295669,2,1,12/18/19 12:38,"43 Hill St, Atlanta, GA 30301"
295670,4,1,12/31/19 22:58,"200 Jefferson St, New York City, NY 10001"
295671,2,1,12/16/19 15:10,"928 12th St, Portland, OR 97035"
295672,2,2,12/13/19 09:29,"813 Hickory St, Dallas, TX 75001"
295673,5,1,12/15/19 23:26,"718 Wilson St, Dallas, TX 75001"
295674,6,4,12/28/19 11:51,"77 7th St, Dallas, TX 75001"
295675,2,2,12/13/19 13:52,"594 1st St, San Francisco, CA 94016"
295676,7,1,12/28/19 17:19,"410 Lincoln St, Los Angeles, CA 90001"
295677,4,2,12/20/19 19:19,"866 Pine St, Boston, MA 02215"
295678,6,2,12/06/19 09:38,"187 Lincoln St, Dallas, TX 75001"
295679,2,1,12/25/19 09:39,"902 2nd St, Dallas, TX 75001"
295680,8,1,12/01/19 14:30,"338 Main St, Austin, TX 73301"
295681,25,1,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295681,2,1,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295681,5,1,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295681,10,1,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295682,2,1,12/23/19 19:25,"780 Elm St, Portland, OR 97035"
295683,10,1,12/23/19 22:46,"341 Lake St, San Francisco, CA 94016"
295684,6,4,12/04/19 12:29,"936 Church St, San Francisco, CA 94016"
295685,10,1,12/11/19 22:54,"662 Ridge St, San Francisco, CA 94016"
295686,2,1,12/17/19 16:10,"573 Maple St, Portland, ME 04101"
295687,23,1,12/10/19 00:38,"531 Ridge St, Boston, MA 02215"
295688,23,1,12/08/19 11:21,"546 Park St, Los Angeles, CA 90001"
295689,1,1,12/24/19 11:21,"173 Lake St, San Francisco, CA 94016"
295690,23,1,12/04/19 00:44,"174 Cedar St, Seattle, WA 98101"
295691,5,1,12/22/19 18:34,"102 Johnson St, Los Angeles, CA 90001"
295692,4,2,12/14/19 01:21,"640 Cherry St, Los Angeles, CA 90001"
295693,10,1,12/16/19 16:40,"856 12th St, Atlanta, GA 30301"
295694,8,1,12/26/19 18:18,"310 Pine St, Dallas, TX 75001"
295695,8,1,12/14/19 06:09,"903 Lincoln St, Boston, MA 02215"
295696,8,1,12/23/19 13:09,"252 Hickory St, San Francisco, CA 94016"
295697,7,1,12/15/19 07:38,"742 River St, San Francisco, CA 94016"
295698,26,1,12/13/19 14:32,"175 1st St, New York City, NY 10001"
295698,2,2,12/13/19 14:32,"175 1st St, New York City, NY 10001"
295699,4,1,12/17/19 18:32,"162 Maple St, Seattle, WA 98101"
295700,5,1,12/25/19 19:02,"363 Hickory St, New York City, NY 10001"
295701,5,1,12/28/19 15:05,"751 North St, San Francisco, CA 94016"
295702,10,2,12/21/19 18:50,"628 River St, Austin, TX 73301"
295703,4,1,12/17/19 12:27,"502 Jefferson St, Austin, TX 73301"
295703,5,1,12/17/19 12:27,"502 Jefferson St, Austin, TX 73301"
295704,10,1,12/12/19 00:20,"457 8th St, New York City, NY 10001"
