Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
222910,23,1,07/26/19 16:51,"389 South St, Atlanta, GA 30301"
222911,24,1,07/05/19 08:55,"590 4th St, Seattle, WA 98101"
222912,4,1,07/29/19 12:41,"861 Hill St, Atlanta, GA 30301"
222913,4,1,07/28/19 10:15,"190 Ridge St, Atlanta, GA 30301"
222914,6,5,07/31/19 02:13,"824 Forest St, Seattle, WA 98101"
222915,5,1,07/03/19 18:30,"899 Elm St, San Francisco, CA 94016"
222916,25,1,07/21/19 22:39,"745 Chestnut St, New York City, NY 10001"
222917,20,1,07/17/19 13:44,"490 Adams St, New York City, NY 10001"
222918,2,1,07/14/19 21:16,"207 1st St, Los Angeles, CA 90001"
222919,8,1,07/14/19 13:24,"29 Jefferson St, Dallas, TX 75001"
222920,4,1,07/30/19 04:42,"590 6th St, San Francisco, CA 94016"
222921,8,1,07/02/19 11:04,"960 Willow St, San Francisco, CA 94016"
222922,15,1,07/20/19 21:12,"616 Chestnut St, Dallas, TX 75001"
222923,6,1,07/05/19 12:16,"105 Johnson St, Los Angeles, CA 90001"
222924,5,1,07/13/19 20:46,"444 Spruce St, San Francisco, CA 94016"
222925,23,1,07/09/19 02:59,"764 Adams St, San Francisco, CA 94016"
222926,8,2,07/15/19 17:44,"577 Lakeview St, Los Angeles, CA 90001"
222927,10,1,07/31/19 20:34,"244 Washington St, Los Angeles, CA 90001"
222928,25,1,07/15/19 17:18,"524 Cherry St, San Francisco, CA 94016"
222929,26,1,07/04/19 19:46,"882 Hickory St, Boston, MA 02215"
222930,8,1,07/20/19 20:57,"826 River St, San Francisco, CA 94016"
222931,2,1,07/18/19 09:21,"145 Pine St, Boston, MA 02215"
222932,10,1,07/24/19 17:32,"386 Cedar St, Los Angeles, CA 90001"
222933,20,1,07/30/19 13:20,"76 2nd St, Los Angeles, CA 90001"
222934,4,2,07/03/19 23:51,"437 River St, Seattle, WA 98101"
222935,6,1,07/23/19 12:20,"118 9th St, San Francisco, CA 94016"
222936,3,1,07/04/19 12:29,"483 West St, Boston, MA 02215"
222937,8,2,07/03/19 09:01,"538 North St, San Francisco, CA 94016"
222938,24,1,07/20/19 17:49,"523 Hickory St, Dallas, TX 75001"
222939,23,1,07/17/19 21:53,"597 Madison St, Los Angeles, CA 90001"
222940,10,2,07/05/19 15:06,"779 Maple St, San Francisco, CA 94016"
222941,23,1,07/02/19 05:48,"631 Willow St, San Francisco, CA 94016"
222942,8,1,07/07/19 10:00,"424 Church St, Portland, OR 97035"
222943,8,1,07/20/19 23:39,"575 4th St, Seattle, WA 98101"
222944,3,1,07/07/19 22:52,"70 Meadow St, San Francisco, CA 94016"
222945,10,1,07/21/19 21:51,"191 Dogwood St, Los Angeles, CA 90001"
222946,14,1,07/14/19 22:19,"49 Park St, New York City, NY 10001"
222947,7,1,07/16/19 09:15,"612 Spruce St, New York City, NY 10001"
222948,2,1,07/10/19 08:18,"631 12th St, San Francisco, CA 94016"
222949,2,1,07/28/19 17:24,"902 Cedar St, Dallas, TX 75001"
222950,8,1,07/17/19 19:05,"358 1st St, Dallas, TX 75001"
222951,23,1,07/08/19 12:34,"781 Maple St, San Francisco, CA 94016"
222952,8,1,07/06/19 16:01,"879 Park St, San Francisco, CA 94016"
222953,8,1,07/31/19 02:56,"109 Highland St, Los Angeles, CA 90001"
222954,4,2,07/14/19 18:11,"980 Chestnut St, Dallas, TX 75001"
222955,2,1,07/01/19 14:27,"117 Lake St, Los Angeles, CA 90001"
222956,17,1,07/11/19 20:18,"525 6th St, Atlanta, GA 30301"
222957,6,1,07/19/19 10:11,"143 5th St, Portland, OR 97035"
222958,6,1,07/26/19 21:00,"777 5th St, Dallas, TX 75001"
222959,7,1,07/15/19 13:07,"252 River St, Dallas, TX 75001"
222960,8,1,07/11/19 08:44,"638 Dogwood St, San Francisco, CA 94016"
222961,8,1,07/04/19 05:44,"840 5th St, Dallas, TX 75001"
