Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
209921,2,1,06/23/19 19:34,"950 Walnut St, Portland, ME 04101"
209922,22,1,06/30/19 10:05,"80 4th St, San Francisco, CA 94016"
209923,7,1,06/24/19 20:18,"402 Jackson St, Los Angeles, CA 90001"
209924,3,1,06/05/19 10:21,"560 10th St, Seattle, WA 98101"
209925,5,1,06/25/19 18:58,"545 2nd St, San Francisco, CA 94016"
209926,23,1,06/28/19 20:04,"386 Lake St, Seattle, WA 98101"
209927,8,1,06/28/19 00:07,"29 Lincoln St, Los Angeles, CA 90001"
209928,23,1,06/16/19 21:30,"350 9th St, New York City, NY 10001"
209929,10,1,06/28/19 10:56,"612 Meadow St, Portland, OR 97035"
209930,3,1,06/02/19 11:22,"625 Ridge St, Los Angeles, CA 90001"
209931,23,1,06/24/19 13:55,"761 14th St, New York City, NY 10001"
209932,24,1,06/12/19 14:36,"858 8th St, Boston, MA 02215"
209933,4,1,06/07/19 15:39,"932 Lakeview St, San Francisco, CA 94016"
209934,6,1,06/13/19 20:53,"387 Dogwood St, Boston, MA 02215"
209935,6,1,06/09/19 11:13,"530 Cedar St, Boston, MA 02215"
209936,15,1,06/15/19 12:21,"769 Dogwood St, Dallas, TX 75001"
209937,4,1,06/29/19 18:01,"675 Maple St, Dallas, TX 75001"
209938,21,1,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101"
209938,10,1,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101"
209939,25,1,06/08/19 16:55,"313 South St, San Francisco, CA 94016"
209940,15,1,06/26/19 15:24,"990 South St, Atlanta, GA 30301"
209941,10,1,06/27/19 11:18,"486 13th St, Boston, MA 02215"
209942,17,1,06/19/19 13:52,"874 Wilson St, Austin, TX 73301"
209943,6,3,06/23/19 16:19,"158 Willow St, Los Angeles, CA 90001"
209944,3,1,06/02/19 19:10,"916 Lake St, Austin, TX 73301"
209945,4,1,06/28/19 08:53,"211 12th St, San Francisco, CA 94016"
209946,25,1,06/28/19 22:13,"66 Cherry St, San Francisco, CA 94016"
209947,23,1,06/06/19 22:41,"7 Lakeview St, San Francisco, CA 94016"
209948,22,1,06/09/19 01:48,"101 Spruce St, Atlanta, GA 30301"
209949,25,1,06/23/19 07:45,"637 12th St, San Francisco, CA 94016"
209949,2,1,06/23/19 07:45,"637 12th St, San Francisco, CA 94016"
