Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
194095,10,1,05/16/19 17:14,"669 2nd St, New York City, NY 10001"
194096,4,1,05/19/19 14:43,"844 Walnut St, Dallas, TX 75001"
194097,3,1,05/24/19 11:36,"164 Madison St, New York City, NY 10001"
194098,10,1,05/02/19 20:40,"622 Meadow St, Dallas, TX 75001"
194099,6,2,05/11/19 22:55,"17 Church St, Seattle, WA 98101"
194100,21,1,05/10/19 19:44,"81 Jefferson St, San Francisco, CA 94016"
194101,2,1,05/11/19 22:44,"354 Meadow St, Boston, MA 02215"
194102,8,1,05/07/19 12:49,"166 4th St, Dallas, TX 75001"
194103,3,1,05/24/19 18:28,"759 Pine St, Seattle, WA 98101"
194104,10,1,05/04/19 18:38,"330 1st St, Seattle, WA 98101"
194105,7,1,05/13/19 09:07,"928 Hill St, Atlanta, GA 30301"
194106,2,1,05/12/19 10:07,"261 Jackson St, San Francisco, CA 94016"
194107,15,1,05/19/19 17:52,"451 Walnut St, New York City, NY 10001"
194108,4,1,05/22/19 18:15,"832 Lakeview St, Austin, TX 73301"
194109,6,1,05/15/19 14:00,"202 11th St, Los Angeles, CA 90001"
194110,25,1,05/31/19 18:07,"498 14th St, Los Angeles, CA 90001"
194110,10,1,05/31/19 18:07,"498 14th St, Los Angeles, CA 90001"
194111,3,1,05/04/19 15:08,"99 Dogwood St, Dallas, TX 75001"
194112,25,1,05/29/19 21:13,"853 West St, Austin, TX 73301"
194113,23,1,05/10/19 22:33,"29 Adams St, Los Angeles, CA 90001"
194114,10,1,05/20/19 01:57,"857 River St, Atlanta, GA 30301"
194115,6,1,05/30/19 20:29,"159 Lincoln St, Los Angeles, CA 90001"
194116,8,1,05/19/19 23:19,"486 6th St, Boston, MA 02215"
194117,8,1,05/12/19 08:44,"239 Madison St, Austin, TX 73301"
194118,4,1,05/18/19 22:54,"762 Maple St, Boston, MA 02215"
194119,10,3,05/07/19 07:15,"531 Jackson St, New York City, NY 10001"
194120,6,1,05/11/19 21:53,"492 Washington St, Los Angeles, CA 90001"
194121,20,1,05/10/19 20:41,"911 Hill St, Los Angeles, CA 90001"
194122,10,1,05/27/19 16:18,"573 Spruce St, Dallas, TX 75001"
194123,23,1,05/24/19 00:34,"546 Meadow St, Atlanta, GA 30301"
194124,21,1,05/04/19 23:40,"937 North St, Portland, OR 97035"
194125,5,1,05/19/19 21:33,"613 Lake St, San Francisco, CA 94016"
194126,6,2,05/19/19 21:28,"549 Willow St, Los Angeles, CA 90001"
194127,10,1,05/15/19 14:46,"320 River St, Seattle, WA 98101"
194128,6,2,05/03/19 18:15,"851 Wilson St, San Francisco, CA 94016"
194129,4,2,05/05/19 11:51,"487 Dogwood St, Seattle, WA 98101"
194130,15,1,05/09/19 15:57,"847 Lakeview St, San Francisco, CA 94016"
194131,5,1,05/07/19 10:44,"742 Jackson St, Seattle, WA 98101"
194132,21,1,05/22/19 21:35,"478 Pine St, Seattle, WA 98101"
194133,5,1,05/03/19 09:45,"776 Hill St, San Francisco, CA 94016"
194134,2,1,05/27/19 18:22,"190 1st St, Los Angeles, CA 90001"
194135,5,1,05/09/19 20:06,"589 10th St, Seattle, WA 98101"
194136,10,1,05/23/19 19:58,"702 14th St, Dallas, TX 75001"
194137,3,1,05/14/19 04:13,"666 Adams St, San Francisco, CA 94016"
194138,8,1,05/01/19 21:55,"259 Center St, San Francisco, CA 94016"
194139,23,1,05/12/19 23:13,"362 2nd St, San Francisco, CA 94016"
194140,8,1,05/07/19 23:57,"870 4th St, Austin, TX 73301"
194141,10,1,05/13/19 14:09,"807 Highland St, Boston, MA 02215"
194142,3,1,05/11/19 19:08,"48 Hickory St, Los Angeles, CA 90001"
194143,23,1,05/09/19 21:58,"87 Park St, San Francisco, CA 94016"
194144,2,1,05/11/19 20:12,"550 5th St, Portland, OR 97035"
194145,4,1,05/23/19 12:27,"393 South St, New York City, NY 10001"
194146,6,2,05/23/19 20:31,"164 Maple St, Atlanta, GA 30301"
194147,24,1,05/18/19 10:18,"963 2nd St, New York City, NY 10001"
194148,17,1,05/21/19 07:37,"312 Church St, San Francisco, CA 94016"
194149,3,1,05/23/19 21:32,"585 8th St, San Francisco, CA 94016"
194150,25,1,05/04/19 20:34,"35 Willow St, Atlanta, GA 30301"
194151,4,1,05/28/19 23:03,"660 12th St, Los Angeles, CA 90001"
,19,,,
194152,2,1,05/06/19 11:27,"859 Park St, Dallas, TX 75001"
194153,21,1,05/12/19 11:11,"274 Sunset St, New York City, NY 10001"
194154,5,1,05/20/19 10:38,"33 Wilson St, Austin, TX 73301"
194155,23,1,05/22/19 10:53,"50 11th St, San Francisco, CA 94016"
194156,22,1,05/20/19 18:32,"67 12th St, Boston, MA 02215"
194157,4,1,05/30/19 00:21,"622 West St, Dallas, TX 75001"
194158,8,1,05/13/19 15:47,"667 Jefferson St, Portland, OR 97035"
194159,8,1,05/24/19 07:30,"976 1st St, Portland, OR 97035"
194160,5,1,05/29/19 15:23,"31 Main St, Austin, TX 73301"
194161,5,1,05/31/19 10:46,"643 Jackson St, Los Angeles, CA 90001"
194162,4,1,05/07/19 23:12,"956 Main St, Dallas, TX 75001"
194163,14,1,05/03/19 12:51,"268 River St, Atlanta, GA 30301"
194164,15,1,05/28/19 14:00,"755 Dogwood St, New York City, NY 10001"
194165,23,1,05/29/19 20:16,"725 Church St, San Francisco, CA 94016"
194166,22,1,05/06/19 13:30,"435 North St, San Francisco, CA 94016"
194167,4,1,05/24/19 22:36,"187 Dogwood St, San Francisco, CA 94016"
194168,2,2,05/20/19 13:16,"583 12th St, Portland, OR 97035"
194169,2,1,05/01/19 18:01,"49 Lake St, Atlanta, GA 30301"
194170,25,1,05/30/19 12:30,"711 Maple St, San Francisco, CA 94016"
194170,2,2,05/30/19 12:30,"711 Maple St, San Francisco, CA 94016"
194171,26,1,05/06/19 15:18,"498 Elm St, Atlanta, GA 30301"
