Order ID,Product ID,Quantity Ordered,Order Date,Purchase Address
259358,15,1,10/28/19 10:56,"609 Cherry St, Dallas, TX 75001"
259359,17,1,10/28/19 17:26,"225 5th St, Los Angeles, CA 90001"
259360,6,2,10/24/19 17:20,"967 12th St, New York City, NY 10001"
259361,3,1,10/14/19 22:26,"628 Jefferson St, New York City, NY 10001"
259362,10,1,10/07/19 16:10,"534 14th St, Los Angeles, CA 90001"
259363,6,1,10/01/19 18:55,"976 Lake St, New York City, NY 10001"
259364,10,1,10/29/19 11:02,"874 North St, Los Angeles, CA 90001"
259365,8,1,10/29/19 11:19,"127 12th St, Los Angeles, CA 90001"
259366,23,1,10/20/19 11:52,"955 9th St, Los Angeles, CA 90001"
259367,23,1,10/16/19 16:19,"742 14th St, San Francisco, CA 94016"
259368,3,1,10/13/19 13:47,"960 Ridge St, Boston, MA 02215"
259369,2,1,10/26/19 10:54,"538 Johnson St, Portland, OR 97035"
259370,14,1,10/28/19 23:56,"528 Forest St, San Francisco, CA 94016"
259371,21,1,10/26/19 12:12,"306 Main St, Los Angeles, CA 90001"
259372,10,1,10/17/19 11:07,"434 Madison St, San Francisco, CA 94016"
259373,3,1,10/31/19 20:15,"924 Church St, San Francisco, CA 94016"
259374,23,1,10/17/19 22:14,"784 6th St, Los Angeles, CA 90001"
259375,2,1,10/10/19 08:53,"557 Forest St, San Francisco, CA 94016"
259376,3,1,10/12/19 00:03,"218 14th St, San Francisco, CA 94016"
259377,5,1,10/23/19 16:49,"88 Main St, Boston, MA 02215"
259378,8,1,10/18/19 16:45,"997 1st St, Boston, MA 02215"
259379,17,1,10/09/19 13:15,"148 Lincoln St, San Francisco, CA 94016"
259380,23,1,10/19/19 12:21,"424 North St, San Francisco, CA 94016"
259381,7,1,10/25/19 08:44,"887 12th St, New York City, NY 10001"
259382,10,1,10/18/19 14:16,"605 Ridge St, New York City, NY 10001"
259383,23,1,10/13/19 12:32,"597 6th St, Los Angeles, CA 90001"
259384,7,1,10/29/19 23:22,"383 Cedar St, Dallas, TX 75001"
259385,8,1,10/28/19 15:28,"892 1st St, Los Angeles, CA 90001"
259386,8,1,10/16/19 21:39,"966 Hickory St, Los Angeles, CA 90001"
259387,5,1,10/01/19 13:58,"695 6th St, New York City, NY 10001"
259388,4,1,10/12/19 13:15,"948 Forest St, San Francisco, CA 94016"
259389,6,1,10/17/19 14:14,"661 Maple St, Dallas, TX 75001"
259390,8,1,10/08/19 12:35,"134 Cherry St, Atlanta, GA 30301"
259391,25,1,10/24/19 12:51,"374 Hill St, Dallas, TX 75001"
259392,10,1,10/19/19 15:26,"374 Forest St, Los Angeles, CA 90001"
259393,4,1,10/22/19 20:35,"2 13th St, New York City, NY 10001"
259394,4,1,10/24/19 18:58,"909 Lake St, Atlanta, GA 30301"
259395,5,1,10/13/19 13:55,"235 Adams St, Atlanta, GA 30301"
259396,6,1,10/23/19 22:40,"218 Spruce St, Austin, TX 73301"
259397,10,1,10/01/19 14:39,"901 Walnut St, Atlanta, GA 30301"
259398,5,1,10/22/19 10:20,"367 Pine St, Seattle, WA 98101"
259399,6,2,10/31/19 19:06,"263 Willow St, San Francisco, CA 94016"
259400,17,1,10/19/19 09:24,"628 Forest St, Los Angeles, CA 90001"
259401,10,1,10/15/19 23:39,"291 Lincoln St, Los Angeles, CA 90001"
259402,4,3,10/09/19 20:27,"11 Lakeview St, Seattle, WA 98101"
259403,2,1,10/25/19 19:42,"255 Cedar St, New York City, NY 10001"
259404,5,1,10/07/19 19:48,"883 5th St, Boston, MA 02215"
259405,5,1,10/07/19 19:19,"698 Center St, Dallas, TX 75001"
259406,4,1,10/12/19 12:01,"665 Elm St, Atlanta, GA 30301"
259407,8,1,10/30/19 12:09,"189 Chestnut St, San Francisco, CA 94016"
259408,15,1,10/21/19 20:09,"36 Pine St, Los Angeles, CA 90001"
259409,3,1,10/03/19 16:26,"854 Main St, Austin, TX 73301"
259410,4,2,10/01/19 21:32,"110 Hill St, San Francisco, CA 94016"
259411,4,1,10/09/19 14:47,"39 West St, San Francisco, CA 94016"
259412,23,1,10/24/19 18:05,"276 North St, Los Angeles, CA 90001"
259413,5,1,10/30/19 09:54,"387 West St, Boston, MA 02215"
259414,23,1,10/08/19 21:01,"29 Washington St, San Francisco, CA 94016"
259415,6,2,10/16/19 19:13,"280 8th St, Portland, OR 97035"
259416,26,1,10/10/19 19:10,"680 South St, Dallas, TX 75001"
259417,10,1,10/08/19 16:27,"908 Washington St, Seattle, WA 98101"
259418,21,1,10/25/19 12:06,"253 8th St, Austin, TX 73301"
259419,2,1,10/28/19 08:13,"820 South St, Los Angeles, CA 90001"
259420,25,1,10/18/19 08:54,"791 Forest St, Los Angeles, CA 90001"
259420,2,2,10/18/19 08:54,"791 Forest St, Los Angeles, CA 90001"
259421,10,1,10/19/19 16:52,"240 Chestnut St, San Francisco, CA 94016"
259422,25,1,10/05/19 04:53,"849 Ridge St, San Francisco, CA 94016"
259422,2,1,10/05/19 04:53,"849 Ridge St, San Francisco, CA 94016"
259423,4,1,10/14/19 15:37,"32 12th St, New York City, NY 10001"
259424,2,2,10/31/19 22:54,"64 Lake St, Atlanta, GA 30301"
259425,8,1,10/18/19 11:36,"81 Spruce St, Austin, TX 73301"
259426,17,1,10/17/19 10:43,"595 6th St, Dallas, TX 75001"
259427,21,1,10/06/19 21:23,"528 13th St, New York City, NY 10001"
259428,4,1,10/07/19 22:09,"891 14th St, Los Angeles, CA 90001"
259429,8,1,10/21/19 19:52,"632 Willow St, San Francisco, CA 94016"
259430,2,1,10/02/19 23:59,"212 Hill St, San Francisco, CA 94016"
259431,3,1,10/23/19 13:13,"962 South St, Boston, MA 02215"
259432,21,1,10/20/19 15:55,"47 4th St, Boston, MA 02215"
259433,5,1,10/11/19 09:01,"114 Park St, Boston, MA 02215"
259434,8,1,10/21/19 23:05,"499 2nd St, Boston, MA 02215"
259435,10,1,10/17/19 16:00,"664 9th St, Boston, MA 02215"
259436,10,2,10/26/19 00:30,"23 Walnut St, San Francisco, CA 94016"
259437,4,1,10/02/19 18:52,"935 Willow St, Seattle, WA 98101"
259438,21,1,10/29/19 09:47,"176 5th St, Los Angeles, CA 90001"
259438,8,1,10/29/19 09:47,"176 5th St, Los Angeles, CA 90001"
259439,2,1,10/15/19 09:57,"5 Hill St, San Francisco, CA 94016"
259440,4,1,10/04/19 10:22,"71 Meadow St, Los Angeles, CA 90001"
259441,4,1,10/26/19 14:32,"413 7th St, San Francisco, CA 94016"
259442,2,1,10/05/19 19:07,"966 14th St, Los Angeles, CA 90001"
259443,26,1,10/01/19 10:20,"875 Lakeview St, Los Angeles, CA 90001"
259444,25,1,10/29/19 14:27,"982 8th St, Austin, TX 73301"
259445,2,1,10/29/19 15:45,"301 4th St, Atlanta, GA 30301"
259446,14,1,10/16/19 15:01,"796 Washington St, Los Angeles, CA 90001"
259447,3,1,10/02/19 16:55,"886 1st St, San Francisco, CA 94016"
259448,4,2,10/18/19 21:47,"145 River St, Los Angeles, CA 90001"
